                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                 1.2201,                0.66461,                0.99147,                0.82883,                0.60716,                0.66356,                0.39003,                 1.2429,                0.62107,                0.99644,               0.005776,               0.005776,               0.005776
                    131,                 1.2189,                0.66462,                0.99205,                0.82781,                0.60642,                0.66347,                0.38975,                 1.2427,                0.62075,                0.99622,               0.005743,               0.005743,               0.005743
                    132,                 1.2206,                0.66693,                0.99175,                0.82834,                0.60281,                0.66253,                 0.3898,                 1.2424,                0.62046,                 0.9961,                0.00571,                0.00571,                0.00571
                    133,                 1.2161,                0.66359,                0.98937,                0.82677,                0.60279,                0.66253,                0.39061,                 1.2418,                 0.6199,                0.99584,               0.005677,               0.005677,               0.005677
                    134,                 1.2156,                0.66396,                0.98914,                0.82407,                0.60522,                0.66495,                0.39179,                  1.242,                0.62003,                0.99583,               0.005644,               0.005644,               0.005644
                    135,                 1.2143,                0.66346,                0.99074,                 0.8228,                 0.6048,                0.66302,                0.39145,                 1.2415,                0.61985,                0.99568,               0.005611,               0.005611,               0.005611
                    136,                 1.2154,                0.66096,                0.99083,                0.82196,                0.60462,                0.66304,                0.39138,                 1.2415,                0.61974,                0.99562,               0.005578,               0.005578,               0.005578
                    137,                 1.2177,                0.66365,                0.99115,                0.82108,                 0.6068,                0.66408,                0.39215,                 1.2411,                0.61949,                0.99567,               0.005545,               0.005545,               0.005545
                    138,                 1.2085,                0.65913,                 0.9882,                0.82002,                0.60664,                 0.6654,                0.39163,                 1.2407,                0.61926,                0.99554,               0.005512,               0.005512,               0.005512
                    139,                 1.2125,                0.66001,                0.99133,                   0.82,                0.60667,                0.66451,                0.39226,                 1.2406,                0.61859,                0.99557,               0.005479,               0.005479,               0.005479
                    140,                 1.2131,                 0.6608,                0.98864,                0.82404,                0.60675,                0.66428,                0.39163,                 1.2403,                0.61861,                0.99567,               0.005446,               0.005446,               0.005446
                    141,                 1.2066,                0.65433,                0.98642,                0.82323,                0.60622,                 0.6646,                0.39221,                 1.2402,                0.61841,                 0.9956,               0.005413,               0.005413,               0.005413
                    142,                 1.2072,                0.65739,                0.98942,                0.82348,                0.60646,                0.66682,                0.39257,                 1.2397,                0.61812,                0.99548,                0.00538,                0.00538,                0.00538
                    143,                 1.2042,                0.65536,                0.98656,                0.82723,                0.60469,                0.67118,                0.39347,                 1.2395,                0.61777,                0.99532,               0.005347,               0.005347,               0.005347
                    144,                 1.2075,                0.65608,                0.98644,                0.82778,                0.60405,                0.67098,                0.39382,                 1.2394,                0.61732,                0.99523,               0.005314,               0.005314,               0.005314
                    145,                 1.2033,                0.65454,                0.98743,                0.82984,                0.60411,                0.67045,                0.39377,                  1.239,                0.61726,                0.99518,               0.005281,               0.005281,               0.005281
                    146,                 1.2083,                0.65326,                0.98852,                0.83003,                0.60299,                0.67069,                0.39427,                 1.2389,                0.61696,                0.99497,               0.005248,               0.005248,               0.005248
                    147,                 1.2081,                0.65869,                0.98923,                0.82945,                0.60406,                0.67091,                0.39515,                 1.2386,                0.61657,                0.99483,               0.005215,               0.005215,               0.005215
                    148,                 1.2036,                0.65313,                0.98702,                0.82485,                0.60285,                 0.6705,                0.39506,                 1.2383,                0.61672,                0.99468,               0.005182,               0.005182,               0.005182
                    149,                 1.1989,                0.64971,                0.98448,                0.82515,                0.60291,                0.67072,                0.39495,                 1.2381,                0.61643,                 0.9945,               0.005149,               0.005149,               0.005149
                    150,                 1.2009,                0.65089,                0.98611,                0.82473,                 0.6022,                0.67037,                0.39344,                 1.2379,                0.61625,                 0.9944,               0.005116,               0.005116,               0.005116
                    151,                  1.201,                0.65196,                0.98472,                0.82356,                0.60309,                0.67064,                0.39356,                 1.2375,                0.61595,                0.99429,               0.005083,               0.005083,               0.005083
                    152,                 1.1976,                0.65014,                0.98704,                0.82434,                0.60272,                0.67132,                0.39477,                 1.2373,                0.61564,                0.99414,                0.00505,                0.00505,                0.00505
                    153,                 1.1975,                0.64897,                0.98598,                0.82447,                0.60267,                0.67074,                0.39491,                  1.237,                0.61551,                0.99405,               0.005017,               0.005017,               0.005017
                    154,                 1.1983,                0.64773,                0.98365,                0.82329,                0.60263,                0.67009,                0.39357,                  1.237,                0.61515,                0.99395,               0.004984,               0.004984,               0.004984
